,Ticker,Weight,Value,Shares
2,FPT,0.08186281648373345,81862816.48373345,600
7,MBB,0.07815925119725256,78159251.19725256,3000
12,REE,0.06635823251051196,66358232.51051196,900
18,NKG,0.06430047723945953,64300477.23945953,2900
15,HAH,0.06339798323958704,63397983.23958704,1500
4,GMD,0.06142556651282689,61425566.51282689,900
19,ANV,0.06059749624760291,60597496.24760291,3600
6,ACB,0.05347679143311446,53476791.433114454,2000
0,HPG,0.05220934516881481,52209345.16881481,1900
13,PVD,0.046556351744520934,46556351.74452093,1600
14,DBC,0.045456240500392986,45456240.50039299,1500
17,TCB,0.044900092168037004,44900092.168037005,1800
9,SZC,0.041184155252869795,41184155.25286979,1000
8,KDH,0.03905289418996983,39052894.18996983,1100
11,SSI,0.03828804712764233,38288047.12764233,1300
10,HCM,0.03531527085355829,35315270.85355829,1100
3,GVR,0.03361890891729064,33618908.91729064,900
16,MSN,0.03224023647701797,32240236.477017973,400
1,MWG,0.031229524746811326,31229524.746811327,400
5,VCI,0.03037031798898534,30370317.988985337,800
